	ref	regest	Regest Text	reg Name	type	observance	fn role	Events ref	regest date	from	to	year	fromyear	toyear
43	org__buergerspital	1508	selgere/at in der purger Spital vor Kernertor	Bürgerspital	Spital_Siechenhaus	 	recipient	#ev__QGW_II_I_1508	1402-04-25			1402		
44	org__buergerspital	1508	ewigen Messe, welche Hermann, Hainreichs des statschreiber sun, den beiden got genad, in der egenanten purger Spital gestiftet hat	Bürgerspital	Spital_Siechenhaus	 	recipient	#ev__QGW_II_I_1508	1402-04-25			1402		
45	org__st_stephan	1508	Chorherren und den curherren den echtem hinz sand Stephan ze Wienn	St. Stephan	Kirche_Kapelle	 	recipient	#ev__QGW_II_I_1508	1402-04-25			1402		
46	org__minoriten	1508	Minnernprüdern hinz der Neunstat	Minoriten	Kloster_m	OFMConv	recipient	#ev__QGW_II_I_1508	1402-04-25			1402		
47	org__wien	1509	rat gemain der stat ze Wienn	Wien	Stadt	 	issuer	#ev__QGW_II_I_1509	1402-04-27			1402		
48	org__wien	1509	stat ze Wienn	Wien	Stadt	 	witness	#ev__QGW_II_I_1509	1402-04-27			1402		
49	org__st_stephan	1510	hinz Allerheiligen tumkirchen dacz sand Stephan ze Wienn auf Allerheiligen altar	St. Stephan	Kirche_Kapelle	 	recipient	#ev__QGW_II_I_1510	1402-04-27			1402		
50	org__wien	1510	Rath der Stadt	Wien	Stadt	 	other	#ev__QGW_II_I_1510	1402-04-27			1402		
51	org__st_stephan	1510	S. Stephan	St. Stephan	Kirche_Kapelle	 	None	#ev__QGW_II_I_1510	1402-04-27			1402		
52	org__wien	1510	städtischen Grundsiegel	Wien	Stadt	 	witness	#ev__QGW_II_I_1510	1402-04-27			1402		
53	org__wien	1513	rat gemain der stat ze Wienn	Wien	Stadt	 	issuer	#ev__QGW_II_I_1513	1402-07-27			1402		
54	org__st_johanneskapelle_in_der_kaerntnerstrasse	1513	hauses ze sand Johanns in der Chernerstrass	"St. Johanneskapelle-in der
       Kärntnerstrasse"	Kirche_Kapelle	 	None	#ev__QGW_II_I_1513	1402-07-27			1402		
55	org__deutsche_herren	1513	hauses dacz dem Teutschen haus ze Wienn	Deutsche Herren	Kloster_m	OT	None	#ev__QGW_II_I_1513	1402-07-27			1402		
56	org__wien	1513	stat klainem anhangundem insigil	Wien	Stadt	 	witness	#ev__QGW_II_I_1513	1402-07-27			1402		
57	org__buergerspital	1513	Spitalsiegel	Bürgerspital	Spital_Siechenhaus	 	witness	#ev__QGW_II_I_1513	1402-07-27			1402		
58	org__deutsche_herren	1513	Deutschen Hauses	Deutsche Herren	Kloster_m	OT	witness	#ev__QGW_II_I_1513	1402-07-27			1402		
59	org__st_stephan	1515	Unser Fraun altar, gelegen auf dem Lector dacz sand Stephan ze Wienn	St. Stephan	Kirche_Kapelle	 	recipient	#ev__QGW_II_I_1515	1402-08-19			1402		
60	org__wien	1515	Rathe der Stadt zu Wien	Wien	Stadt	 	other	#ev__QGW_II_I_1515	1402-08-19			1402		
61	org__wien	1516	rates gemain der stat ze Wienn	Wien	Stadt	 	other	#ev__QGW_II_I_1516	1402-08-29			1402		
62	org__wien	1516	städtischen Grundsiegel	Wien	Stadt	 	witness	#ev__QGW_II_I_1516	1402-08-29			1402		
63	org__st_stephan	1517	Allerheiligen tumchirichen dacz sand Stephan ze Wienn	St. Stephan	Kirche_Kapelle	 	None	#ev__QGW_II_I_1517	1402-09-07			1402		
64	org__st_stephan-st_achatius	1517	sand Achacii capellen, gelegen in dem pharrhof auf sand Stephans freithof daselbens	 	 	 	None	#ev__QGW_II_I_1517	1402-09-07			1402		
65	org__st_klara	1520	sand Klarn ze Wienn	St. Klara	Kloster_f	OSCl	None	#ev__QGW_II_I_1520	1402-12-12			1402		
66	org__marienkapelle_am_gestade	1520	Aindleftausent Maid altar, gelegen in Unser Fraun kappellen auf der Stetten ze Wienn	"Marienkapelle am Gestade, auf der
       Stetten"	Kirche_Kapelle	 	None	#ev__QGW_II_I_1520	1402-12-12			1402		
67	org__wien	1520	ze Wienn	Wien	Stadt	 	None	#ev__QGW_II_I_1520	1402-12-12			1402		
68	org__klosterneuburg_augustinerchorherren	1521	klosters ze Neunburkch	Klosterneuburg-Augustinerchorherren	Kloster_m	CanReg	None	#ev__QGW_II_I_1521	1402-12-20			1402		
69	org__wien	1522	rats gemain der stat ze Wienn	Wien	Stadt	 	other	#ev__QGW_II_I_1522	1402-12-20			1402		
70	org__st_michael	1522	Goczleichnams altar, gelegen dacz sand Michel unter dem turn ze Wienn	St. Michael	Kirche_Kapelle	 	None	#ev__QGW_II_I_1522	1402-12-20			1402		
71	org__wien	1522	städtischen Grundsiegel	Wien	Stadt	 	witness	#ev__QGW_II_I_1522	1402-12-20			1402		
72	org__karmeliter	1524	ze Wienn Unser Fraun pru/eder ordens von dem perg Carmelo	Karmeliter-Weissenbrüder	Kloster_m	OCarm	None	#ev__QGW_II_I_1524	1403-02-05			1403		
73	org__karmeliter	1524	convent	Karmeliter-Weissenbrüder	Kloster_m	OCarm	issuer	#ev__QGW_II_I_1524	1403-02-05			1403		
74	org__karmeliter	1524	sand Johanns altar in dem ekke	Karmeliter-Weissenbrüder	Kloster_m	OCarm	recipient	#ev__QGW_II_I_1524	1403-02-05			1403		
75	org__karmeliter	1524	Convent	Karmeliter-Weissenbrüder	Kloster_m	OCarm	witness	#ev__QGW_II_I_1524	1403-02-05			1403		
76	org__wien	1525	rat gemain der stat ze Wienn	Wien	Stadt	 	issuer	#ev__QGW_II_I_1525	1403-02-14			1403		
77	org__wien	1525	stat ze Wienn	Wien	Stadt	 	witness	#ev__QGW_II_I_1525	1403-02-14			1403		
78	org__st_ulrich	1527	Abhaltung dieses Jahrtages	St. Ulrich Wien	Kirche_Kapelle	 	recipient	#ev__QGW_II_I_1527	1403-03-01			1403		
79	org__wien	1529	rats gemain der stat ze Wienn	Wien	Stadt	 	other	#ev__QGW_II_I_1529	1403-03-13			1403		
80	org__wien	1529	städtischen Grundsiegel	Wien	Stadt	 	witness	#ev__QGW_II_I_1529	1403-03-13			1403		
81	org__wien	1530	rats gemain der stat ze Wienn	Wien	Stadt	 	other	#ev__QGW_II_I_1530	1403-03-14			1403		
