	collection	xml	date	event	catchwords	normed
22	Vienna_1448	3246.xml	1448-03-27	NULL	dint man auch je/arlichen	 
23	Vienna_1448	3246.xml	1448-03-27	NULL	alle jar dint	 
24	Vienna_1448	3248.xml	1448-04-30	ev__QGW_II_II_3248	stellt | einen Revers aus	 
25	Vienna_1448	3248.xml	1448-04-30	NULL	gekauft hatte	 
26	Vienna_1448	3250.xml	1448-05-03	ev__QGW_II_II_3250	verkauft	 
27	Vienna_1448	3250.xml	1448-05-03	NULL	dient	 
28	Vienna_1448	3250.xml	1448-05-03	NULL	gestifteten Messe	 
29	Vienna_1448	3251.xml	1448-05-24	ev__QGW_II_II_3251	stellen | aus	 
30	Vienna_1448	3252.xml	1448-06-07	ev__QGW_II_II_3252	verlängert | den Termin für die Rückzahlung	 
31	Vienna_1448	3253.xml	1448-06-10	ev__QGW_II_II_3253	vidimiert	 
32	Vienna_1448	3254.xml	1448-06-10	ev__QGW_II_II_3254	vidimiert	 
33	Vienna_1448	3255.xml	1448-06-10	ev__QGW_II_II_3255	vidimiert	 
34	Vienna_1448	3256.xml	1448-06-10	ev__QGW_II_II_3256	vidimiert	 
35	Vienna_1448	3257.xml	1448-06-26	ev__QGW_II_II_3257	gibt	 
36	Vienna_1448	3257.xml	1448-06-26	NULL	Messe gestiftet haben	 
37	Vienna_1448	3257.xml	1448-06-26	NULL	dient	 
38	Vienna_1448	3258.xml	1448-06-26	ev__QGW_II_II_3258	beurkundet | und übergibt	 
39	Vienna_1448	3258.xml	1448-06-26	NULL	gewidmet habe	 
40	Vienna_1448	3258.xml	1448-06-26	NULL	Grunddienst dient	 
41	Vienna_1448	3259.xml	1448-06-28	ev__QGW_II_II_3259	beurkundet, dass vor ihm in offenem Gerichte | umb versessens purkrecht und die darauf ertheilten zwispild geklagt habe | gibt | mit und macht | gewaltig	 
42	Vienna_1448	3259.xml	1448-06-28	NULL	versessens purkrecht gehörten	 
43	Vienna_1448	3260.xml	1448-07-06	ev__QGW_II_II_3260	beurkundet | widmet	 
44	Vienna_1448	3260.xml	1448-07-06	NULL	Messe | gestiftet und | verliehen habe	 
45	Vienna_1448	3260.xml	1448-07-06	NULL	die Stiftung einer | ewigen Messe | angeordnet	 
46	Vienna_1448	3260.xml	1448-07-06	NULL	neuerbauten	 
47	Vienna_1448	3260.xml	1448-07-06	ev__QGW_II_II_2870	gekauft hat	 
48	Vienna_1448	3260.xml	1448-07-06	ev__QGW_II_II_3250	angekauftes	 
49	Vienna_1448	3260.xml	1448-07-06	NULL	angekauftes	 
50	Vienna_1448	3261.xml	1448-07-08	ev__QGW_II_II_3261	verkauft	 
51	Vienna_1448	3261.xml	1448-07-08	NULL	an rechter tailung gevallen ist	 
52	Vienna_1448	3262.xml	1448-07-08	ev__QGW_II_II_3262	stellen | einen Schuldbrief | aus	 
53	Vienna_1448	3262.xml	1448-07-08	NULL	das nach dem Tode der Letztgenannten verkauft worden war	 
